#日期,机构,余额,活期余额
20190512,340101011,30677.36,8004.79
20190512,340101012,37435.78,16959.68
20190512,340101015,22981.94,6033.16
20190512,340101016,37921.1,9197.46
20190512,340101017,18245.91,5292.1
20190512,340101018,20584.93,5617.97
20190512,340101021,12531.86,4702.38
20190512,340101023,9609.04,3813.95
20190512,340101024,14799.94,2834.51
20190512,340101025,27717.96,6268.15
20190512,340101028,41903.46,10914.53
20190512,340101029,10279.19,2758.34
20190512,340101031,29420.5,7458.91
20190512,340101032,23461.92,6522.19
20190512,340101034,22438.2,6847.81
20190512,340101036,22134.84,5177.68
20190512,340101037,20339.54,7654.29
20190512,340101038,18555.41,4339.21
20190512,340101039,14028.19,2657.3
20190512,340101040,19149.68,4439.75
20190512,340101042,12488.45,3344.41
20190512,340101043,29694.23,5748.71
20190512,340101044,10445.05,3252.55
20190512,340101045,46923,7173.09
20190512,340101047,13434.94,3104.99
20190512,340101049,10578.15,3660.1
20190512,340101050,29442.8,6902.71
20190512,340101051,23373.77,11799.93
20190512,340101052,15266.98,2888.93
20190512,340101053,12478.87,3491.8
20190512,340101054,13769.35,5141.74
20190512,340101057,13833.88,4328.42
20190512,340101059,10831.69,2380.51
20190512,340101061,13578.2,4329.33
20190512,340101062,14574.46,4712.78
20190512,340101064,36075.39,10579.56
20190512,340101065,22212.63,4070.53
20190512,340101066,6356.09,1432.75
20190512,340101067,13563.26,5336.16
20190512,340121001,21067,6906.28
20190512,340121003,7215.79,3062.26
20190512,340121004,18108.64,6432
20190512,340121005,36626.94,9720.37
20190512,340121007,31658.79,8643.29
20190512,340121008,23165.19,6861.32
20190512,340121009,25022.78,12235.61
20190512,340121010,16999.22,6846.51
20190512,340121011,29092.79,13292.18
20190512,340121017,17353.36,5720.98
20190512,340121018,22807.71,7978.34
20190512,340121020,5900.18,1961.03
20190512,340122001,38717.71,13047.65
20190512,340122002,34114.16,9145.06
20190512,340122003,14451.66,2831.95
20190512,340122004,8199,3275.4
20190512,340122005,3426.74,1151.09
20190512,340122006,33188.94,8992.73
20190512,340122007,21263.26,3665.3
20190512,340122008,24865.18,7457.83
20190512,340122009,24130.83,9494.03
20190512,340122011,32176.31,4680.5
20190512,340122012,15718.53,3188.31
20190512,340122013,20078.57,6036.84
20190512,340122014,19564.6,5100.74
20190512,340122015,14296.28,4057.08
20190512,340122016,23428.93,4361.86
20190512,340122017,15993.07,5842.29
20190512,340122018,12709.27,5248.36
20190512,340122019,22661.36,3155.76
20190512,340122020,26930.22,8594.57
20190512,340122021,25188.7,7153.42
20190512,340123001,32880.8,8372.87
20190512,340123005,48677.94,9701.9
20190512,340123006,34858.52,7999.97
20190512,340123007,52052.06,9394.97
20190512,340123008,43036.22,9620.13
20190512,340123010,25709.42,6084.08
20190512,340123011,54791.85,14627.64
20190512,340123013,43306.38,9587.26
20190512,340123014,24138.15,4801.1
20190512,340123015,34205.53,7517.22
20190512,340123016,36719.45,7076.36
20190512,340123018,34792.77,9739.07
20190512,340123019,33241.7,7002.62
20190512,340124001,19585.6,4853.37
20190512,340124002,44133.72,11888.25
20190512,340124003,23987.44,4420.01
20190512,340124004,35712.6,4451.2
20190512,340124005,32691.69,5358.24
20190512,340124006,23720.34,4940.86
20190512,340124008,32146.68,3206.19
20190512,340124009,43069.5,5684.28
20190512,340124010,11530.36,2263.54
20190512,340124011,31051.31,5784.44
20190512,340124012,23969.51,3279.93
20190512,340124013,18864.36,3213.72
20190512,340124014,32986.61,7808.49
20190512,340124015,27993.67,5139.61
20190512,340124016,27635.43,5229.29
20190512,340124017,19033.92,3717.58
20190512,340124018,29744.04,6141.7
20190512,340124019,17804.28,2115.43
20190512,340124020,5540.48,891.12
20190512,340124021,16709.41,3244.6
20190512,340124022,26637.54,3604.55
20190512,340124023,8848.15,1745.33
20190512,340124024,24866.58,2168.62
20190512,340124025,16441.25,5138.42
20190512,340181003,13206.71,2309.26
20190512,340181004,23842.48,6937.07
20190512,340181005,17334.36,2804.62
20190512,340181006,22196.3,3604.44
20190512,340181007,21954.4,3547.47
20190512,340181008,8449.55,1773.36
20190512,340181009,12545.89,2201.08
20190512,340181010,39029.03,8490.1
20190512,340181011,23824.08,6786.8
20190512,340181012,17373.1,5206.26
20190512,340181013,12779.46,2772.78
20190512,340181016,21016.29,2232.67
20190512,340181017,24484.01,3914.93
20190512,340181018,28679.97,4068.68
20190512,340181020,36413.56,5998.67
20190512,340181021,25679.45,3497.19
20190512,340181022,21747.91,3724.69
20190512,340181023,21517,5208.49
20190512,340181024,13562.96,2656.21
20190512,340181025,17704.31,2122.56
20190512,340181026,15623.89,4244.31
20190512,340201002,8499.61,2025.39
20190512,340201005,12015.13,2438.23
20190512,340201006,11983.1,2410.04
20190512,340201010,9757.96,2012.91
20190512,340201011,9232.36,1929.29
20190512,340201013,11646.65,2119.72
20190512,340201015,11440.28,2879.14
20190512,340201016,18267.84,3833.32
20190512,340201017,15011.83,4092.17
20190512,340201018,14977.94,2624.23
20190512,340201019,11020.4,1925.82
20190512,340201020,17561.39,4147.6
20190512,340201021,19698.67,4959.33
20190512,340201022,9482.54,1797.34
20190512,340201023,12473.21,2409.05
20190512,340201024,10888.89,2492.4
20190512,340201026,17560.68,4846.45
20190512,340201027,11685.76,2876.69
20190512,340201028,16264.94,3153.88
20190512,340201032,10636.24,3350.79
20190512,340201034,9756.48,2476.46
20190512,340201037,31531.81,4631.07
20190512,340201038,10955.22,2327.36
20190512,340201039,30887.13,9537.44
20190512,340201040,34162.26,6057.4
20190512,340201041,22933.97,4586.9
20190512,340201042,28591.2,6671.33
20190512,340201043,36789.6,7010.89
20190512,340201044,18547.26,3947.04
20190512,340201045,38521.29,8156.92
20190512,340201047,21057.71,6383.23
20190512,340201049,13350.71,3816.32
20190512,340201052,28873.39,6068.59
20190512,340201053,18026,4014.67
20190512,340201054,49293.57,10243.95
20190512,340201055,22982.77,4209.59
20190512,340221002,18203.77,5240.94
20190512,340221003,18453.19,4617.63
20190512,340221004,18975.91,5061.01
20190512,340221007,17964.99,4207.02
20190512,340221010,27444.73,8806.98
20190512,340221012,29711.8,4718.56
20190512,340221013,31563.97,8056.34
20190512,340222002,14941.13,3502.81
20190512,340222003,37299.08,7390.85
20190512,340222005,13081.96,2323.16
20190512,340222007,21563.38,4845.24
20190512,340222009,10004.17,1763.99
20190512,340222010,25750.34,4761.64
20190512,340222011,32209.65,5443.84
20190512,340222012,14570.63,2342.17
20190512,340222016,10775.15,2508.7
20190512,340222017,15377.33,3073.75
20190512,340222022,18226.56,3936.36
20190512,340223002,42761.71,8094.84
20190512,340223003,34073.17,6119.71
20190512,340223004,29593.67,6539.96
20190512,340223005,40454.56,9607.27
20190512,340223006,47576.46,8089.1
20190512,340223008,28222.03,4769.05
20190512,340223009,29139.6,5221.99
20190512,340223010,18058.42,3461.27
20190512,340223011,17188.27,3965.74
20190512,340223012,23401.11,4635.61
20190512,340223013,16680.26,3225.49
20190512,340223014,19569.53,3562.12
20190512,340223017,11017.03,1683.94
20190512,340223018,11767.9,1586.2
20190512,340225001,28020.23,9857.86
20190512,340225002,29811.04,5898.13
20190512,340225004,48177.21,5752.64
20190512,340225006,22970.69,3384.47
20190512,340225007,67298.1,15209.33
20190512,340225008,37720.95,4434.98
20190512,340225009,29774.38,5895.88
20190512,340225010,21297.64,4072.65
20190512,340225011,21913.92,3572.08
20190512,340225012,29552.37,6460.21
20190512,340225013,24243.54,4921.99
20190512,340225014,38320.97,8874.57
20190512,340225015,41347.99,6990.39
20190512,340225016,27506.15,4303.12
20190512,340225017,44631.66,12478.95
20190512,340225018,24617.83,6463.09
20190512,340225019,18928.21,4031.85
20190512,340225020,10712.73,1542.95
20190512,340225021,16138.67,2156.33
20190512,340225022,9659.68,1954.76
20190512,340301002,6895.78,2339.11
20190512,340301003,5799.92,1604.44
20190512,340301004,12269.97,3973.91
20190512,340301007,7751.86,2612.12
20190512,340301008,7481.03,1785.02
20190512,340301009,7118.38,1719.43
20190512,340301010,12710.3,4114.56
20190512,340301011,11454.28,2695.95
20190512,340301013,10025.4,2622.51
20190512,340301014,9340.18,2068.62
20190512,340301015,4080.92,1143.57
20190512,340301016,15354.61,2422.33
20190512,340301017,9465.04,2568.1
20190512,340301018,6361.42,1961.17
20190512,340301019,2295.25,781.54
20190512,340301020,9767.32,2376.11
20190512,340301021,7538.54,1891.68
20190512,340301022,12471.19,4218.33
20190512,340301024,9235.49,3209.03
20190512,340301025,24552.35,8611.72
20190512,340301026,20917.76,4782.69
20190512,340321002,8856.96,3815.29
20190512,340321003,15288.1,9746.31
20190512,340321004,11756.15,6787.7
20190512,340321005,12369.41,5565.24
20190512,340321006,11782.97,5674.31
20190512,340321007,14236.47,6307.59
20190512,340321008,8967.25,4488.1
20190512,340321009,13150.91,7017.07
20190512,340321010,17706.41,9732.44
20190512,340321011,24733.84,13724.96
20190512,340321012,12792.83,6350.43
20190512,340321013,9540.46,3140.86
20190512,340321014,10204.51,6459.13
20190512,340321015,12237.77,6727.63
20190512,340321016,10024.51,5415.58
20190512,340321018,12711.56,10012.82
20190512,340321019,14774.88,9124.98
20190512,340321020,10662.43,5548.11
20190512,340321021,13029.1,6030.73
20190512,340321023,10496.74,5290.46
20190512,340321024,10074.36,5342.34
20190512,340321025,18649.58,9632.24
20190512,340322001,16372.58,5846.43
20190512,340322002,32994.12,11912.22
20190512,340322003,12058.78,4663.39
20190512,340322004,24164.83,10438.01
20190512,340322005,20388.25,6942.7
20190512,340322006,26545.95,8599.63
20190512,340322007,19070.02,6457.9
20190512,340322008,29687.18,11957.95
20190512,340322010,29171.6,10016.65
20190512,340322011,26957.44,10659.96
20190512,340322012,19515.69,7267.14
20190512,340322013,18684.97,6595.4
20190512,340322015,13112.97,4275.46
20190512,340322016,20587.96,6963.33
20190512,340322017,15712.98,6681.84
20190512,340322021,10990.05,3482.78
20190512,340323001,11291.9,4427.02
20190512,340323002,10566.31,3976.37
20190512,340323003,19181.07,6480.66
20190512,340323006,19490.11,7107.35
20190512,340323007,23187.19,6345.47
20190512,340323008,18166.16,7018.26
20190512,340323009,16456.45,5696.39
20190512,340323010,16284.82,6869.59
20190512,340323011,13655.11,6244.89
20190512,340323012,14955.65,5701.89
20190512,340323013,5953.67,1688.23
20190512,340323014,7373.59,2850.69
20190512,340323015,5191.48,2359.7
20190512,340323016,14509.76,5187.17
20190512,340323017,19303.77,7481.17
20190512,340323018,12651.33,3961.96
20190512,340323019,14073.71,6498.63
20190512,340323020,10774.95,4182.07
20190512,340323021,9133.43,3598.82
20190512,340323022,11572.96,4819.23
20190512,340323023,10628.36,3607.25
20190512,340323024,12910.36,4654.41
20190512,340401002,10012.72,2581.05
20190512,340401004,12868.37,2559.71
20190512,340401005,11969.73,2069.51
20190512,340401006,11527.23,2278.26
20190512,340401007,8449.88,1835.96
20190512,340401009,22388.58,3122
20190512,340401010,10476.73,2256.92
20190512,340401011,16853.23,3757.39
20190512,340401012,12485.38,2075.24
20190512,340401013,13157.54,3532.11
20190512,340401014,24140.24,3618.86
20190512,340401015,13757.3,2386.62
20190512,340401016,14587.59,3574.18
20190512,340401017,14854.57,3178.13
20190512,340401018,14591.48,2654.65
20190512,340401019,15643.89,1585.56
20190512,340401020,23195.18,3782.79
20190512,340401021,16544.01,3434.4
20190512,340401022,19920.49,3660.49
20190512,340401026,24798.37,4542.18
20190512,340401028,15359.74,1822.05
20190512,340401029,19975.28,4044.45
20190512,340401031,16521.48,3123.1
20190512,340401032,20300.28,2781.05
20190512,340401033,19823.28,3742.83
20190512,340401035,13729.31,1682.55
20190512,340401036,16266.46,3178.3
20190512,340401038,11955.02,1173.96
20190512,340401040,25664.43,5183.99
20190512,340401041,14039.74,6746.95
20190512,340401042,32927.18,8708.73
20190512,340401043,26150.3,4310.73
20190512,340401047,36092.56,10772.42
20190512,340401048,19039.62,4096.92
20190512,340401049,17909.23,4534.35
20190512,340401051,21033.63,6593.03
20190512,340401052,15130.81,2155.17
20190512,340401053,13832.96,2324.86
20190512,340421002,20349.54,5840.72
20190512,340421003,30145.12,7813.42
20190512,340421004,51686.89,13820.75
20190512,340421005,31977.41,9669.78
20190512,340421006,26727,7597.32
20190512,340421007,24838.52,8990.65
20190512,340421008,43152.96,11398.82
20190512,340421009,27360.01,8239.06
20190512,340421010,34493.43,8742.36
20190512,340421012,25238.86,6265.41
20190512,340421013,29835.34,8257.42
20190512,340421014,24615.09,8432.7
20190512,340421015,31746.74,8690.61
20190512,340421016,26806.66,6237.26
20190512,340421017,34524.33,7922.51
20190512,340421019,23943.33,6110.2
20190512,340422101,32774.88,9078.07
20190512,340422102,17785.53,5955.36
20190512,340422103,19149.47,4219.86
20190512,340422105,20056.59,4386.63
20190512,340422106,31902.56,5719.32
