instno,instlvl,couninstno,cityinstno,instname,fullname,shortname,status
34,0,000000,0000,安徽省,安徽省,安徽省,0
3401,1,000000,3401,合肥地区,合肥,合肥,0
340101,2,340101,3401,合肥市,合肥市,合肥市,0
340101011,3,340101,3401,合肥市大铺头营业所,合肥市大铺头营业所,大铺头营业所,0
340101012,3,340101,3401,合肥市王大郢营业所,合肥市王大郢营业所,王大郢营业所,9
340101015,3,340101,3401,合肥市银菱营业所,合肥市银菱营业所,银菱营业所,0
340101016,3,340101,3401,合肥市四川路营业所,合肥市四川路营业所,四川路营业所,0
340101017,3,340101,3401,合肥市安庆路营业所,合肥市安庆路营业所,安庆路营业所,0
340101018,3,340101,3401,合肥市太湖东路营业所,合肥市太湖东路营业所,太湖东路营业所,0
340101021,3,340101,3401,合肥市华府骏苑营业所,合肥市华府骏苑营业所,华府骏苑营业所,0
340101023,3,340101,3401,合肥市黄山路营业所,合肥市黄山路营业所,黄山路营业所,0
340101024,3,340101,3401,合肥市青阳北路营业所,合肥市青阳北路营业所,青阳北路营业所,0
340101025,3,340101,3401,合肥市亳州路营业所,合肥市亳州路营业所,亳州路营业所,0
340101028,3,340101,3401,合肥市海恒营业所,合肥市海恒营业所,海恒营业所,9
340101029,3,340101,3401,合肥市三里街营业所,合肥市三里街营业所,三里街营业所,0
340101031,3,340101,3401,合肥市华源营业所,合肥市华源营业所,华源营业所,0
340101032,3,340101,3401,合肥市东七营业所,合肥市东七营业所,东七营业所,0
340101034,3,340101,3401,合肥市金寨南路营业所,合肥市金寨南路营业所,金寨南路营业所,0
340101036,3,340101,3401,合肥市潜山路营业所,合肥市潜山路营业所,潜山路营业所,0
340101037,3,340101,3401,合肥市莲花营业所,合肥市莲花营业所,莲花营业所,0
340101038,3,340101,3401,合肥市郎溪路营业所,合肥市郎溪路营业所,郎溪路营业所,0
340101039,3,340101,3401,合肥市琥珀山庄营业所,合肥市琥珀山庄营业所,琥珀山庄营业所,0
340101040,3,340101,3401,合肥市淝河营业所,合肥市淝河营业所,淝河营业所,0
340101042,3,340101,3401,合肥市望江西路营业所,合肥市望江西路营业所,望江西路营业所,0
340101043,3,340101,3401,合肥市晓星营业所,合肥市晓星营业所,晓星营业所,0
340101044,3,340101,3401,合肥市安农大营业所,合肥市安农大营业所,安农大营业所,0
340101045,3,340101,3401,合肥市康园营业所,合肥市康园营业所,康园营业所,0
340101047,3,340101,3401,合肥市轻机厂营业所,合肥市轻机厂营业所,轻机厂营业所,0
340101049,3,340101,3401,合肥市望江东路营业所,合肥市望江东路营业所,望江东路营业所,0
340101050,3,340101,3401,合肥市包河苑营业所,合肥市包河苑营业所,包河苑营业所,0
340101051,3,340101,3401,合肥市化三院营业所,合肥市化三院营业所,化三院营业所,0
